time,sgReading
16/01/16 14:18:03,6.055556
16/01/16 14:23:03,6.111111
16/01/16 14:28:03,6.055556
16/01/16 14:33:03,6.277778
16/01/16 14:38:03,6.833333
16/01/16 14:43:03,6.333333
16/01/16 14:48:03,6.5
16/01/16 14:53:03,7
16/01/16 14:58:03,7
16/01/16 15:03:03,7.166667
16/01/16 15:08:03,7.611111
16/01/16 15:13:03,7.722222
16/01/16 15:18:03,7.888889
16/01/16 15:23:03,8.111111
16/01/16 15:28:03,8.055556
16/01/16 15:33:03,8.055556
16/01/16 15:38:03,7.833333
16/01/16 15:43:03,7.833333
16/01/16 15:48:03,7.888889
16/01/16 15:53:03,7.944444
16/01/16 15:58:03,7.944444
16/01/16 16:03:03,8
16/01/16 16:08:03,7.944444
16/01/16 16:13:03,8
16/01/16 16:18:03,8.333333
16/01/16 16:23:03,8.5
16/01/16 16:28:03,8.555556
16/01/16 16:33:03,8.5
16/01/16 16:38:03,8.555556
16/01/16 16:43:03,8.666667
16/01/16 16:48:03,8.5
16/01/16 16:53:03,8.444444
16/01/16 16:58:03,8.444444
16/01/16 17:03:03,8.388889
16/01/16 17:08:03,8.277778
16/01/16 17:13:03,8.277778
16/01/16 17:18:03,8.333333
16/01/16 17:23:03,7.5
16/01/16 17:28:03,7.444444
16/01/16 17:33:02,6.833333
16/01/16 17:38:02,7.277778
16/01/16 17:43:03,7.666667
16/01/16 17:48:02,8
16/01/16 17:53:02,8
16/01/16 17:58:02,7.944444
16/01/16 18:03:02,7.722222
16/01/16 18:08:02,7.444444
16/01/16 18:13:02,7.166667
16/01/16 18:18:02,6.055556
16/01/16 18:23:02,6.777778
16/01/16 18:28:02,6.444444
16/01/16 18:33:02,6.555556
16/01/16 18:38:02,6.611111
16/01/16 18:43:02,6.222222
16/01/16 18:48:02,6.833333
16/01/16 18:53:02,7.055556
16/01/16 18:58:02,6.944444
16/01/16 19:03:02,6.944444
16/01/16 19:08:02,6.888889
16/01/16 19:13:02,6.555556
16/01/16 19:18:02,6.222222
16/01/16 19:23:02,5.833333
16/01/16 19:28:02,5.888889
16/01/16 19:33:02,5.611111
16/01/16 19:38:02,5.666667
16/01/16 19:43:02,5.277778
16/01/16 19:48:02,5.611111
16/01/16 19:53:02,5.555556
16/01/16 19:58:02,5.5
16/01/16 20:03:02,6
16/01/16 20:08:02,6.111111
16/01/16 20:13:02,6.333333
16/01/16 20:18:02,6.222222
16/01/16 20:23:02,6.111111
16/01/16 20:28:02,6.333333
16/01/16 20:33:02,6.222222
16/01/16 20:38:02,6.222222
16/01/16 20:43:02,6.277778
16/01/16 20:48:02,6.277778
16/01/16 20:53:02,6.388889
16/01/16 20:58:02,6.333333
16/01/16 21:03:02,6.111111
16/01/16 21:08:02,6.333333
16/01/16 21:13:02,5.777778
16/01/16 21:18:02,5.111111
16/01/16 21:23:02,5.222222
16/01/16 21:28:02,5.222222
16/01/16 21:33:02,5.222222
16/01/16 21:38:02,5
16/01/16 21:43:02,5.055556
16/01/16 21:48:02,5.222222
16/01/16 21:53:02,5.166667
16/01/16 21:58:02,5.5
16/01/16 22:03:02,6
16/01/16 22:08:02,5.888889
16/01/16 22:13:02,5.444444
16/01/16 22:18:02,5.833333
16/01/16 22:23:02,5.5
16/01/16 22:28:02,5.944444
16/01/16 22:33:02,6.166667
16/01/16 22:38:02,6.555556
16/01/16 22:43:01,6.5
16/01/16 22:48:01,6.388889
16/01/16 22:53:01,6.555556
16/01/16 22:58:01,6.5
16/01/16 23:03:01,6.444444
16/01/16 23:08:01,6.166667
16/01/16 23:13:01,6.055556
16/01/16 23:18:02,6.166667
16/01/16 23:23:01,6.222222
16/01/16 23:28:01,6.277778
16/01/16 23:33:01,6.277778
16/01/16 23:38:01,6.277778
16/01/16 23:43:01,6.277778
16/01/16 23:48:01,6.611111
16/01/16 23:53:01,6.611111
16/01/16 23:58:01,6.055556
17/01/16 00:03:01,6
17/01/16 00:08:01,6.111111
17/01/16 00:13:01,6.5
17/01/16 00:18:01,6.833333
17/01/16 00:23:01,7.222222
17/01/16 00:28:01,6.944444
17/01/16 00:33:01,6.944444
17/01/16 00:38:01,7
17/01/16 00:43:01,7
17/01/16 00:48:01,7
17/01/16 00:53:01,6.944444
17/01/16 00:58:01,6.944444
17/01/16 01:03:01,7
17/01/16 01:08:01,7
17/01/16 01:13:01,7
17/01/16 01:18:01,7
17/01/16 01:23:01,7.055556
17/01/16 01:28:01,7.055556
17/01/16 01:33:01,7.111111
17/01/16 01:38:01,6.944444
17/01/16 01:43:01,6.888889
17/01/16 01:48:01,6.944444
17/01/16 01:53:01,6.944444
17/01/16 01:58:01,6.944444
17/01/16 02:03:01,6.944444
17/01/16 02:08:01,6.888889
17/01/16 02:13:01,6.888889
17/01/16 02:18:01,6.888889
17/01/16 02:23:01,7
17/01/16 02:28:01,7.055556
17/01/16 02:33:01,6.777778
17/01/16 02:38:01,6.722222
17/01/16 02:43:01,6.666667
17/01/16 02:48:01,6.611111
17/01/16 02:53:01,6.555556
17/01/16 02:58:01,6.666667
17/01/16 03:03:01,6.444444
17/01/16 03:08:01,6.388889
17/01/16 03:13:01,6.333333
17/01/16 03:18:01,6.5
17/01/16 03:23:01,6.5
17/01/16 03:28:01,6.333333
17/01/16 03:33:01,6.277778
17/01/16 03:38:01,6.055556
17/01/16 03:43:01,5.333333
17/01/16 03:48:01,5.277778
17/01/16 03:53:00,5.333333
17/01/16 03:58:00,5.333333
17/01/16 04:03:00,5.333333
17/01/16 04:08:00,5.333333
17/01/16 04:13:01,5.5
17/01/16 04:18:00,5.555556
17/01/16 04:23:00,5.555556
17/01/16 04:28:00,5.5
17/01/16 04:33:00,5.277778
17/01/16 04:38:00,5.277778
17/01/16 04:43:00,5.277778
17/01/16 04:48:00,5.555556
17/01/16 04:53:00,5.388889
17/01/16 04:58:00,5.388889
17/01/16 05:03:00,5.388889
17/01/16 05:08:00,5.388889
17/01/16 05:13:00,5.888889
17/01/16 05:18:00,6.111111
17/01/16 05:23:00,6.111111
17/01/16 05:28:00,6.166667
17/01/16 05:33:00,6.166667
17/01/16 05:38:00,6.055556
17/01/16 05:43:00,6
17/01/16 05:48:00,6
17/01/16 05:53:00,6.666667
17/01/16 05:58:00,6.666667
17/01/16 06:03:00,6.611111
17/01/16 06:08:00,6.555556
17/01/16 06:13:00,6.555556
17/01/16 06:18:00,6.333333
17/01/16 06:23:00,6.111111
17/01/16 06:28:00,6.5
17/01/16 06:33:00,6.5
17/01/16 06:38:00,6.5
17/01/16 06:43:00,6.5
17/01/16 06:48:00,6.5
17/01/16 06:53:00,6.444444
17/01/16 06:58:00,6.555556
17/01/16 07:03:00,6.666667
17/01/16 07:08:00,6.666667
17/01/16 07:13:00,6.611111
17/01/16 07:18:00,6.444444
17/01/16 07:23:00,6.5
17/01/16 07:28:00,6.277778
17/01/16 07:33:00,6.388889
17/01/16 07:38:00,6.333333
17/01/16 07:43:00,6.333333
17/01/16 07:48:00,5.888889
17/01/16 07:53:00,5.833333
17/01/16 07:58:00,5.777778
17/01/16 08:03:00,5.722222
17/01/16 08:08:00,6.055556
17/01/16 08:13:00,5.833333
17/01/16 08:18:00,5.222222
17/01/16 08:23:00,5.611111
17/01/16 08:28:00,4.888889
17/01/16 08:33:00,5.277778
17/01/16 08:38:00,5.388889
17/01/16 08:43:00,5.722222
17/01/16 08:48:00,6.055556
17/01/16 08:53:00,6.166667
17/01/16 08:58:00,6.444444
17/01/16 09:03:00,6.222222
17/01/16 09:07:59,6
17/01/16 09:12:59,6
17/01/16 09:17:59,5.888889
17/01/16 09:22:59,5.888889
17/01/16 09:27:59,5.833333
17/01/16 09:33:00,5.888889
17/01/16 09:37:59,5.833333
17/01/16 09:42:59,6.055556
17/01/16 09:47:59,6.5
17/01/16 09:52:59,6.888889
17/01/16 09:57:59,6.777778
17/01/16 10:02:59,6.666667
17/01/16 10:07:59,6.833333
17/01/16 10:12:59,6.666667
17/01/16 10:17:59,6.5
17/01/16 10:22:59,6.444444
17/01/16 10:27:59,6.333333
17/01/16 10:32:59,5.888889
17/01/16 10:37:59,5.611111
17/01/16 10:42:59,5.166667
17/01/16 10:47:59,5.111111
17/01/16 10:52:59,4.833333
17/01/16 10:57:59,5.111111
17/01/16 11:02:59,5.277778
17/01/16 11:07:59,5.277778
17/01/16 11:12:59,5.111111
17/01/16 11:17:59,5.888889
17/01/16 11:22:59,5.777778
17/01/16 11:27:59,6.055556
17/01/16 11:32:59,6.222222
17/01/16 11:37:59,6.222222
17/01/16 11:42:59,6.055556
17/01/16 11:47:59,5.722222
17/01/16 11:52:59,4.944444
17/01/16 11:57:59,5.333333
17/01/16 12:02:59,5.444444
17/01/16 12:07:59,5.5
17/01/16 12:12:59,5.777778
17/01/16 12:17:59,5.444444
17/01/16 12:22:59,5.666667
17/01/16 12:27:59,5.777778
17/01/16 12:32:59,6.111111
17/01/16 12:37:59,6.222222
17/01/16 12:42:59,6.166667
17/01/16 12:47:59,6.388889
17/01/16 12:52:59,6.222222
17/01/16 12:57:59,6.111111
17/01/16 13:02:59,6.055556
17/01/16 13:07:59,6.277778
17/01/16 13:12:59,6.555556
17/01/16 13:17:59,6.777778
17/01/16 13:22:59,7.166667
17/01/16 13:27:59,7.444444
17/01/16 13:32:59,7.277778
17/01/16 13:37:59,7.222222
17/01/16 13:42:59,7.222222
17/01/16 13:47:59,6.944444
17/01/16 13:52:59,6.722222
